income,age,experience,married,house_ownership,car_ownership,state,current_job_years,risk_flag
4588175,49,20,single,rented,no,Chhattisgarh,6,0
519314,35,19,married,rented,no,West_Bengal,5,0
1808178,68,18,single,rented,yes,Uttar_Pradesh,14,0
4092407,60,9,single,rented,no,Tamil_Nadu,9,0
9345198,49,9,single,rented,no,Rajasthan,9,0
3248934,40,10,single,rented,no,West_Bengal,10,0
8200302,36,13,single,owned,no,Himachal_Pradesh,5,0
7625659,51,6,single,rented,no,Assam,6,0
2495998,57,9,single,rented,no,Bihar,9,0
7527288,24,10,single,rented,no,Bihar,5,0
3966663,69,6,single,rented,yes,Uttar_Pradesh,6,0
7968822,24,13,single,rented,no,Bihar,3,0
4240816,27,3,single,rented,yes,Rajasthan,3,0
5574828,74,0,single,rented,no,Kerala,0,0
4790996,62,16,single,rented,yes,Bihar,10,0
61638,54,11,single,rented,no,Assam,8,0
7655074,22,15,single,rented,no,Uttar_Pradesh,7,0
6088232,58,18,single,rented,no,Bihar,4,0
9215889,37,15,single,rented,no,Tamil_Nadu,9,0
9238134,78,2,single,rented,no,Tamil_Nadu,2,0
6851175,23,14,single,rented,yes,Maharashtra,8,0
7310061,37,10,single,rented,no,Maharashtra,6,0
4812262,62,3,single,owned,no,Telangana,3,0
415914,52,6,single,rented,no,Andhra_Pradesh,6,0
4371590,66,19,single,rented,yes,West_Bengal,3,0
1415262,67,1,single,rented,no,Bihar,1,0
3295175,47,18,single,rented,no,Bihar,6,0
3670961,63,12,single,owned,no,Assam,3,0
6797003,73,19,single,rented,no,West_Bengal,6,0
2537374,45,6,single,rented,yes,Uttar_Pradesh,3,0
5920246,75,13,single,rented,yes,Punjab,13,0
5633121,47,11,single,rented,no,West_Bengal,4,0
4417164,42,12,single,rented,no,Tamil_Nadu,8,0
9243461,47,10,single,rented,no,Maharashtra,10,0
5545675,44,9,single,rented,no,Gujarat,6,0
9953142,51,6,single,norent_noown,no,West_Bengal,6,0
612912,66,15,single,rented,no,Uttar_Pradesh,14,0
3972528,38,16,single,norent_noown,yes,Bihar,6,0
3393343,39,2,single,rented,yes,Bihar,2,0
3879880,49,10,single,rented,no,Uttar_Pradesh,10,0
2174359,60,18,single,owned,yes,Chhattisgarh,11,0
227394,56,12,single,rented,no,Bihar,5,0
9162675,61,0,single,rented,no,Chhattisgarh,0,0
499939,25,17,married,rented,yes,Uttar_Pradesh,9,0
378524,62,11,single,rented,yes,Jharkhand,4,0
3897430,21,2,single,rented,no,Assam,2,0
715648,33,0,single,rented,no,Andhra_Pradesh,0,0
6644494,61,9,single,rented,yes,Maharashtra,9,0
1393491,71,13,married,rented,no,Uttar_Pradesh,9,0
7477764,34,3,single,rented,yes,Maharashtra,3,0
2701804,61,8,single,rented,no,West_Bengal,8,0
2603139,33,3,married,rented,no,Mizoram,3,0
191452,53,1,single,owned,yes,Assam,1,0
5633671,63,4,married,rented,no,Jammu_and_Kashmir,3,0
9112796,27,5,single,rented,yes,Uttarakhand,5,0
8542806,31,12,married,rented,no,Gujarat,6,0
817450,32,15,married,rented,no,Karnataka,4,0
2936423,69,11,married,rented,yes,Uttar_Pradesh,6,0
5638906,46,3,married,rented,yes,West_Bengal,3,0
8603183,62,15,married,rented,yes,Bihar,12,0
947583,59,7,single,rented,yes,Assam,7,0
8325911,63,3,single,rented,no,Andhra_Pradesh,3,0
4006235,74,11,single,rented,no,Bihar,3,0
5284369,76,13,married,rented,no,Bihar,9,0
6581560,50,13,single,rented,no,Kerala,7,0
5720531,43,12,single,rented,no,Uttarakhand,7,0
4031882,35,4,single,rented,yes,Andhra_Pradesh,4,0
9272383,68,20,single,rented,no,Jammu_and_Kashmir,9,0
1165856,47,19,married,rented,yes,West_Bengal,7,0
8079247,36,9,single,owned,yes,Odisha,9,0
6338889,35,6,single,rented,no,Bihar,6,0
8830162,77,18,single,rented,no,Uttar_Pradesh,14,0
9777298,43,20,single,rented,no,Jharkhand,14,0
9594719,59,6,single,rented,no,Gujarat,6,0
3054126,65,19,single,owned,yes,Uttar_Pradesh,11,0
1211333,32,14,single,rented,no,Delhi,13,0
3695682,41,20,single,rented,yes,Maharashtra,5,0
6580482,48,11,single,rented,no,Gujarat,7,0
3925490,22,16,single,rented,yes,Maharashtra,10,0
8269915,42,11,single,rented,yes,Tamil_Nadu,11,0
5764101,35,13,single,rented,no,Gujarat,13,0
859651,29,14,single,rented,yes,West_Bengal,8,0
1492954,73,19,single,rented,no,Himachal_Pradesh,6,0
532746,78,18,married,rented,yes,Uttarakhand,10,0
112513,77,2,single,rented,yes,Chhattisgarh,2,0
9567744,51,9,married,rented,no,Rajasthan,9,0
6121261,23,15,single,rented,no,Maharashtra,5,0
2542814,55,10,single,rented,no,Uttar_Pradesh,8,0
813741,79,13,married,rented,no,Andhra_Pradesh,12,0
7592766,58,1,single,rented,no,Andhra_Pradesh,1,0
6851175,23,14,single,rented,yes,Maharashtra,8,0
5462549,50,4,married,rented,no,Bihar,4,0
6010140,75,15,single,rented,yes,Punjab,9,0
6614433,41,13,single,rented,no,Madhya_Pradesh,8,0
2529001,61,17,single,owned,no,Madhya_Pradesh,4,0
8273187,69,0,single,rented,no,Chhattisgarh,0,0
7715562,55,6,married,rented,no,Gujarat,6,0
3738605,22,5,single,rented,no,Jharkhand,5,0
7855403,35,0,single,rented,yes,Rajasthan,0,0
5152202,78,10,single,rented,no,Gujarat,10,0
5360213,64,12,single,rented,yes,Bihar,4,0
2847448,61,11,single,rented,no,West_Bengal,9,0
8022844,61,11,single,rented,no,Maharashtra,11,0
5053629,41,14,single,rented,no,Uttar_Pradesh,10,0
7461869,51,10,single,rented,yes,Gujarat,10,0
8759249,50,12,single,rented,yes,West_Bengal,7,0
138060,41,14,single,rented,no,Andhra_Pradesh,11,0
1369446,59,3,single,rented,no,Punjab,3,0
9775983,65,6,single,rented,no,Jharkhand,6,0
2582515,27,14,single,rented,yes,Andhra_Pradesh,14,0
9297948,33,11,single,rented,yes,Bihar,8,0
2184898,28,6,single,rented,no,Rajasthan,6,0
8390119,37,0,single,rented,no,Madhya_Pradesh,0,0
5620082,58,14,single,rented,no,Maharashtra,9,0
9993836,72,13,single,rented,no,Andhra_Pradesh,4,0
1399162,22,8,single,rented,yes,Maharashtra,8,0
5943068,47,6,single,rented,no,Gujarat,6,0
8535775,33,18,single,rented,no,Assam,5,0
9307114,27,15,single,rented,yes,Tamil_Nadu,13,0
6762902,43,10,single,rented,yes,Kerala,3,0
2047235,61,1,single,rented,yes,Haryana,1,0
9069784,44,18,single,rented,no,Tamil_Nadu,13,0
7068508,24,13,single,rented,no,Tamil_Nadu,9,0
8461272,68,11,single,rented,no,Andhra_Pradesh,9,0
8693161,53,5,married,rented,yes,Andhra_Pradesh,3,0
5195681,53,1,married,rented,yes,Bihar,1,0
4445518,34,16,married,owned,no,Andhra_Pradesh,8,0
1126863,43,1,single,rented,no,Andhra_Pradesh,1,0
5152202,78,10,single,rented,no,Gujarat,10,0
2566021,39,17,married,rented,no,Maharashtra,3,0
7564205,36,10,single,rented,no,Gujarat,10,0
7466449,64,11,single,rented,yes,Rajasthan,10,0
6601303,23,18,single,rented,yes,Uttar_Pradesh,4,0
7171033,68,19,married,rented,no,Punjab,4,0
8021287,75,12,single,rented,no,Bihar,9,0
2124447,65,1,single,rented,no,West_Bengal,1,0
6250205,29,17,single,rented,yes,Tripura,13,0
4214101,60,16,single,norent_noown,no,Madhya_Pradesh,13,0
3099151,26,13,single,rented,no,Tamil_Nadu,8,0
1350358,39,11,single,rented,no,Haryana,11,0
7213058,50,12,single,rented,no,Maharashtra,4,0
8924886,63,14,single,rented,no,Gujarat,13,0
3311941,60,19,single,owned,no,Rajasthan,11,0
5083653,35,14,single,rented,yes,Tamil_Nadu,12,0
5776771,54,19,single,rented,no,Karnataka,3,0
7717248,75,18,single,owned,yes,Madhya_Pradesh,9,0
5336799,22,18,single,rented,no,Maharashtra,7,0
5747210,36,5,single,rented,yes,Bihar,3,0
731152,67,4,single,rented,yes,Andhra_Pradesh,4,0
4241559,77,15,single,rented,no,Uttar_Pradesh,9,0
7814930,77,4,single,rented,yes,Uttarakhand,4,0
7956721,65,18,single,rented,no,Maharashtra,5,0
2976480,33,11,single,rented,yes,Assam,9,0
1303616,21,3,single,rented,no,Chhattisgarh,3,0
7240165,21,9,single,rented,no,Telangana,7,0
7783136,44,13,single,rented,no,Telangana,9,0
4958467,76,2,single,rented,yes,Madhya_Pradesh,2,0
4120478,68,4,single,rented,no,West_Bengal,4,0
2252443,77,0,single,rented,no,Chandigarh,0,0
5456621,60,16,single,rented,no,Madhya_Pradesh,9,0
4931330,22,14,single,rented,yes,Uttar_Pradesh,5,0
9078449,79,10,single,owned,yes,Bihar,8,0
3460548,36,13,single,rented,no,Tamil_Nadu,5,0
6945171,55,18,single,rented,no,West_Bengal,8,0
5465826,73,18,single,rented,no,Gujarat,3,0
2039809,58,11,single,rented,yes,Chandigarh,7,0
7477502,28,14,single,rented,no,Jharkhand,11,0
5841051,40,5,single,rented,no,Gujarat,5,0
243403,50,10,married,rented,no,Uttar_Pradesh,8,0
4070923,23,6,single,rented,yes,Uttar_Pradesh,6,0
8190070,61,9,single,rented,yes,Uttar_Pradesh,3,0
6861266,58,3,single,rented,yes,Maharashtra,3,0
6332792,32,10,single,rented,yes,Bihar,8,0
2221987,50,12,single,rented,no,Andhra_Pradesh,6,0
7999635,43,1,married,rented,yes,Chhattisgarh,1,0
1752237,79,4,single,rented,no,Telangana,4,0
3451746,34,20,single,owned,no,Bihar,6,0
7159752,60,18,single,rented,no,Chhattisgarh,3,0
706221,44,9,single,rented,no,Tamil_Nadu,9,0
6170073,78,18,single,rented,yes,Bihar,8,0
6488496,46,2,single,rented,no,Andhra_Pradesh,2,0
2986107,21,15,single,rented,no,Maharashtra,8,0
2393887,40,13,single,rented,no,Tamil_Nadu,11,0
6994513,76,18,single,rented,yes,Rajasthan,6,0
1200437,36,18,single,rented,no,Bihar,14,0
8786565,42,5,single,rented,no,Andhra_Pradesh,4,0
1698437,40,10,single,owned,yes,Madhya_Pradesh,10,0
4792051,42,18,single,owned,no,Uttar_Pradesh,14,0
6834599,69,12,married,rented,no,Bihar,12,0
6652382,35,13,single,rented,yes,West_Bengal,7,0
7503211,57,6,single,rented,no,Madhya_Pradesh,6,0
4939664,61,14,married,rented,yes,Bihar,4,0
4674975,38,13,single,rented,yes,Chhattisgarh,12,0
9644741,45,2,single,rented,no,Gujarat,2,0
979926,61,14,single,rented,yes,Madhya_Pradesh,7,0
5185337,50,2,married,rented,no,Rajasthan,2,0
3504748,71,13,single,rented,no,Uttar_Pradesh,9,0
5982820,26,5,single,rented,no,Tamil_Nadu,5,0
6625727,65,3,single,rented,no,Karnataka,3,0
5136629,76,6,married,rented,no,Uttar_Pradesh,6,0
4910692,68,6,married,rented,yes,Assam,6,0
7321831,46,8,single,rented,no,Uttar_Pradesh,6,0
3097744,57,9,single,rented,yes,Maharashtra,5,0
5875578,54,4,single,rented,yes,Uttar_Pradesh,4,0
3217169,73,20,single,rented,no,Tamil_Nadu,5,0
385354,42,6,single,rented,no,Assam,5,0
2926190,71,0,single,rented,no,West_Bengal,0,0
1509614,25,0,married,rented,yes,Andhra_Pradesh,0,0
7412737,75,16,single,rented,no,Manipur,10,0
3976547,77,20,single,rented,no,Tamil_Nadu,7,0
1850597,55,12,single,norent_noown,no,Andhra_Pradesh,12,0
6106749,43,9,single,rented,no,Tamil_Nadu,9,0
2436593,54,19,single,rented,no,Bihar,6,0
7638998,46,14,single,rented,yes,Gujarat,12,0
1000979,41,19,single,rented,yes,Assam,5,0
8763038,72,13,single,rented,no,Tamil_Nadu,13,0
3562528,58,9,single,rented,no,Andhra_Pradesh,9,0
7971597,65,3,single,rented,no,Gujarat,3,0
4853948,39,10,single,rented,no,Andhra_Pradesh,10,0
9440590,68,11,single,rented,no,Andhra_Pradesh,10,0
3553290,50,8,single,rented,no,Punjab,8,0
5129206,59,8,single,rented,no,Rajasthan,3,0
4430970,61,5,single,rented,yes,Assam,5,0
5238806,65,3,single,rented,no,Telangana,3,0
7469378,62,0,single,rented,yes,Chhattisgarh,0,0
8306987,66,0,single,rented,no,Maharashtra,0,0
2699320,27,1,single,rented,no,Karnataka,1,0
2640560,23,16,single,rented,no,Bihar,8,0
8578286,47,17,single,rented,yes,Karnataka,10,0
160166,53,16,single,rented,no,Gujarat,9,0
6885928,79,15,married,rented,no,West_Bengal,13,0
9148290,50,15,single,rented,no,Rajasthan,12,0
6172123,58,0,single,rented,no,Telangana,0,0
3227716,71,10,single,rented,yes,Kerala,10,0
5021070,47,20,single,rented,no,Telangana,7,0
9165973,37,14,single,norent_noown,yes,Bihar,11,0
8830734,55,8,single,rented,yes,Uttar_Pradesh,8,0
7091843,60,20,single,rented,no,Andhra_Pradesh,3,0
6105859,44,18,single,rented,no,Himachal_Pradesh,10,0
6646287,47,3,single,rented,no,Uttar_Pradesh,3,0
4841110,47,19,single,rented,no,Tamil_Nadu,7,0
2598882,23,0,single,rented,no,Manipur,0,0
2539614,78,12,single,rented,no,Maharashtra,8,0
2062343,40,15,married,rented,yes,Uttar_Pradesh,14,0
5597223,74,8,single,rented,yes,Rajasthan,3,0
4791888,69,13,single,rented,no,West_Bengal,3,0
6821441,27,13,single,rented,no,Assam,7,0
8200302,36,13,single,owned,no,Himachal_Pradesh,5,0
4659517,76,2,married,rented,no,Andhra_Pradesh,2,0
8688804,34,12,single,rented,no,West_Bengal,7,0
3386878,42,18,single,owned,yes,Haryana,3,0
2561886,41,6,single,rented,yes,Jharkhand,5,0
5734106,22,3,single,rented,no,Andhra_Pradesh,3,0
2528206,65,6,single,rented,no,Tamil_Nadu,6,0
6165156,28,7,married,owned,no,Uttar_Pradesh,7,0
2047235,61,1,single,rented,yes,Haryana,1,0
3227326,45,4,single,rented,no,Punjab,4,0
4329713,42,9,married,rented,no,West_Bengal,6,0
8100959,62,16,single,owned,no,Delhi,5,0
2217063,34,3,single,rented,no,West_Bengal,3,0
9311486,68,9,single,rented,no,Haryana,9,0
1830351,29,1,single,rented,yes,Maharashtra,1,0
2135335,26,4,single,rented,no,Uttar_Pradesh,4,0
5094060,50,9,single,rented,yes,Uttar_Pradesh,9,0
8158874,39,10,married,rented,no,Madhya_Pradesh,5,0
6243830,75,10,single,rented,yes,West_Bengal,7,0
9620139,48,15,married,norent_noown,yes,Uttar_Pradesh,14,0
5398638,30,14,single,rented,no,West_Bengal,9,0
5285152,32,16,single,rented,no,Madhya_Pradesh,8,0
3489049,66,11,single,rented,no,Tamil_Nadu,11,0
2707807,35,12,single,rented,no,Maharashtra,4,0
5340557,72,2,single,rented,yes,Bihar,2,0
2157500,59,16,single,rented,no,Chhattisgarh,11,0
8443251,35,4,single,rented,yes,Bihar,3,0
6056661,74,2,single,rented,yes,Chandigarh,2,0
790606,32,8,single,norent_noown,yes,Uttarakhand,8,0
4140213,45,6,single,rented,no,Maharashtra,6,0
3373735,44,4,single,rented,yes,Andhra_Pradesh,4,0
8007329,77,9,single,rented,yes,Karnataka,9,0
3469231,42,12,single,rented,no,Haryana,12,0
587478,44,0,single,rented,no,Telangana,0,0
6171221,56,18,single,rented,no,Uttar_Pradesh,9,0
1589605,46,13,single,rented,no,Haryana,9,0
8182419,22,6,single,rented,no,Maharashtra,6,0
6625727,65,3,single,rented,no,Karnataka,3,0
5394516,76,0,single,rented,no,Uttar_Pradesh,0,0
8064081,55,18,single,rented,yes,Haryana,9,0
7026123,59,19,single,rented,yes,Andhra_Pradesh,4,0
1315700,53,4,single,rented,no,Tamil_Nadu,4,0
8837967,35,14,single,rented,yes,Jharkhand,10,0
9625415,77,15,married,rented,no,Maharashtra,9,0
974270,78,6,single,rented,no,Assam,6,0
8915216,25,19,single,rented,no,Madhya_Pradesh,5,0
4916345,73,8,single,rented,yes,West_Bengal,8,0
7186684,55,3,single,rented,yes,Madhya_Pradesh,3,0
694149,50,11,single,rented,no,Haryana,6,0
9173880,41,18,single,rented,yes,Maharashtra,7,0
228774,60,10,single,rented,yes,Tamil_Nadu,6,0
3159546,75,5,married,rented,no,Delhi,3,0
1893263,61,12,single,rented,no,Puducherry,7,0
9043837,22,6,single,rented,yes,West_Bengal,6,0
6670038,37,13,single,rented,no,Andhra_Pradesh,5,0
8092590,42,4,single,rented,no,Uttar_Pradesh,4,0
84792,77,2,single,rented,no,Karnataka,2,0
5055246,39,19,single,rented,yes,Jharkhand,12,0
8796074,21,0,single,rented,no,Bihar,0,0
2150868,48,9,single,rented,no,Tamil_Nadu,6,0
1685809,48,18,single,rented,yes,West_Bengal,3,0
6432491,45,5,single,rented,yes,Maharashtra,5,0
6506739,50,4,single,rented,no,Gujarat,4,0
6126601,58,15,single,rented,no,Madhya_Pradesh,4,0
1381568,50,7,single,rented,no,Uttar_Pradesh,4,0
2607355,56,7,single,rented,no,Assam,7,0
1853650,56,15,single,rented,no,Maharashtra,6,0
7511735,59,1,married,rented,no,Uttar_Pradesh,1,0
9202245,74,16,single,rented,yes,Haryana,13,0
8757398,31,6,single,rented,yes,Uttar_Pradesh,6,0
8578286,47,17,single,rented,yes,Karnataka,10,0
7319518,56,1,single,rented,no,Haryana,1,0
6379086,72,11,married,rented,yes,Bihar,11,0
7302729,70,14,single,rented,no,Assam,11,0
101805,27,18,single,rented,no,Karnataka,10,0
2833907,61,11,married,rented,no,Telangana,6,0
4420138,62,4,single,rented,yes,Madhya_Pradesh,4,0
5975878,56,17,married,rented,no,Bihar,6,0
2537374,45,6,single,rented,yes,Uttar_Pradesh,3,0
6674100,43,13,single,rented,no,Uttar_Pradesh,8,0
9939884,24,9,single,rented,yes,Rajasthan,9,0
4915986,45,13,single,rented,yes,Rajasthan,13,0
9511802,55,10,single,rented,yes,Chhattisgarh,4,0
6565294,56,11,single,rented,no,West_Bengal,11,0
8899644,39,12,married,rented,no,Delhi,6,0
2544949,39,15,single,rented,no,Maharashtra,10,0
8958480,49,2,single,rented,no,Madhya_Pradesh,2,0
9722315,73,2,single,rented,yes,Gujarat,2,0
3209350,57,5,single,rented,yes,Karnataka,5,0
28561,63,13,single,rented,yes,Jharkhand,13,0
7975781,36,15,single,rented,no,Rajasthan,10,0
43636,31,3,single,rented,no,Chhattisgarh,3,0
9789090,42,14,single,owned,no,Tamil_Nadu,6,0
2776190,64,16,single,rented,yes,West_Bengal,4,0
9976619,71,5,single,rented,no,Delhi,4,0
6644494,61,9,single,rented,yes,Maharashtra,9,0
2065698,24,10,single,rented,yes,West_Bengal,5,0
6350875,41,5,single,rented,no,Jharkhand,5,0
7907929,31,20,single,rented,no,Maharashtra,12,0
2535189,74,6,married,rented,no,Maharashtra,3,0
2509059,43,3,single,rented,yes,Rajasthan,3,0
5875537,78,10,single,rented,no,Maharashtra,5,0
2989320,76,13,single,rented,no,Punjab,9,0
4539410,35,5,single,owned,no,Maharashtra,5,0
9579515,30,19,single,rented,yes,Gujarat,12,0
8463033,27,17,married,rented,no,Uttarakhand,3,0
3017006,32,4,single,rented,yes,Maharashtra,4,0
221597,30,12,single,rented,no,Gujarat,12,0
9137580,21,7,single,rented,no,Maharashtra,7,0
6793519,57,6,single,rented,no,Bihar,6,0
485911,70,15,single,rented,no,West_Bengal,11,0
9978516,51,5,single,rented,no,Bihar,5,0
3114997,48,20,single,rented,yes,West_Bengal,5,0
1132842,71,12,single,rented,no,West_Bengal,12,0
3931749,64,5,single,rented,no,Bihar,5,0
6905894,39,8,single,rented,yes,Gujarat,7,0
8075181,21,12,single,rented,no,Andhra_Pradesh,7,0
8325446,58,1,single,rented,yes,Gujarat,1,0
4939664,61,14,married,rented,yes,Bihar,4,0
6305461,41,11,single,rented,yes,Uttar_Pradesh,7,0
9504715,51,14,single,rented,yes,Maharashtra,14,0
1558677,28,8,single,rented,no,Gujarat,8,0
2789316,79,11,single,rented,yes,Andhra_Pradesh,7,0
270761,48,1,single,rented,no,Rajasthan,1,0
412015,23,8,single,rented,no,Haryana,4,0
7579274,26,8,single,rented,no,Madhya_Pradesh,5,0
1811742,54,17,single,owned,no,Andhra_Pradesh,3,0
8936935,36,0,single,rented,no,Assam,0,0
6626765,57,10,single,rented,no,Tamil_Nadu,10,0
4479372,22,14,single,rented,no,West_Bengal,5,0
5021477,60,4,single,rented,no,Uttar_Pradesh,4,0
4242225,61,18,single,rented,no,Puducherry,6,0
8502580,66,5,single,rented,yes,Haryana,5,0
6097344,27,16,single,rented,yes,Kerala,10,0
